experiment,variant,horizon,MSE,RMSE,MAE,MAPE,Dir_Acc,R2
model_type,LSTM,h1,0.004190988,0.06473784,0.057667404,1123.1116,59.887005649717516,-3.5904756
model_type,LSTM,h5,0.007207395,0.08489638,0.069384724,404.944,43.50282485875706,-0.72378707
model_type,LSTM,h20,0.019612081,0.14004314,0.11030272,254.34973,63.84180790960452,-0.2765237
model_type,GRU,h1,0.004871853,0.06979866,0.06287654,1266.2252,39.548022598870055,-4.3362412
model_type,GRU,h5,0.004878666,0.06984745,0.053806186,146.72713,44.632768361581924,-0.16682673
model_type,GRU,h20,0.04655854,0.21577428,0.18441783,408.22025,33.33333333333333,-2.0304322
model_type,Transformer,h1,0.0009318607,0.030526394,0.021257097,146.9325,57.06214689265536,-0.020686269
model_type,Transformer,h5,0.004202088,0.064823516,0.049804762,143.95699,61.5819209039548,-0.005010128
model_type,Transformer,h20,0.023245402,0.15246443,0.11795302,108.413376,54.23728813559322,-0.5130117
dropout,0.0,h1,0.003386797,0.058196194,0.046051282,801.58356,60.451977401129945,-2.7096283
dropout,0.0,h5,0.009816916,0.09908035,0.07931912,471.39,38.4180790960452,-1.3479042
dropout,0.0,h20,0.0379737,0.19486842,0.15939486,283.69812,42.3728813559322,-1.4716563
dropout,0.1,h1,0.020913135,0.14461374,0.14017119,3017.7302,59.887005649717516,-21.906588
dropout,0.1,h5,0.019043542,0.13799834,0.12222971,879.74475,38.4180790960452,-3.5546293
dropout,0.1,h20,0.024128303,0.15533288,0.122073665,157.1782,50.847457627118644,-0.57047844
dropout,0.2,h1,0.004190988,0.06473784,0.057667404,1123.1116,59.887005649717516,-3.5904756
dropout,0.2,h5,0.007207395,0.08489638,0.069384724,404.944,43.50282485875706,-0.72378707
dropout,0.2,h20,0.019612081,0.14004314,0.11030272,254.34973,63.84180790960452,-0.2765237
dropout,0.3,h1,0.0010305172,0.03210167,0.023417993,254.52397,48.58757062146893,-0.12874663
dropout,0.3,h5,0.009799227,0.098991044,0.08053862,422.66092,38.4180790960452,-1.3436737
dropout,0.3,h20,0.032210648,0.17947325,0.14522418,232.37302,41.24293785310734,-1.0965471
dropout,0.5,h1,0.0035763797,0.05980284,0.048533764,810.8641,48.0225988700565,-2.9172823
dropout,0.5,h5,0.008014045,0.0895212,0.070554666,332.70486,38.4180790960452,-0.9167129
dropout,0.5,h20,0.028132077,0.1677262,0.13040799,148.03098,43.50282485875706,-0.83107877
batch_norm,True,h1,0.004190988,0.06473784,0.057667404,1123.1116,59.887005649717516,-3.5904756
batch_norm,True,h5,0.007207395,0.08489638,0.069384724,404.944,43.50282485875706,-0.72378707
batch_norm,True,h20,0.019612081,0.14004314,0.11030272,254.34973,63.84180790960452,-0.2765237
batch_norm,False,h1,0.002255215,0.047489107,0.03962869,704.02423,39.548022598870055,-1.4701836
batch_norm,False,h5,0.0042792116,0.06541568,0.050640095,179.55339,61.5819209039548,-0.023455739
batch_norm,False,h20,0.03421496,0.18497285,0.15096581,272.29388,25.423728813559322,-1.227005
attention_depth,layers=1,h1,0.0022811764,0.047761664,0.04013042,731.6669,39.548022598870055,-1.4986196
attention_depth,layers=1,h5,0.004581262,0.06768502,0.051895022,133.50131,41.24293785310734,-0.09569681
attention_depth,layers=1,h20,0.023250924,0.15248254,0.12175359,152.5891,43.50282485875706,-0.5133711
attention_depth,layers=2,h1,0.0009318607,0.030526394,0.021257097,146.9325,57.06214689265536,-0.020686269
attention_depth,layers=2,h5,0.004202088,0.064823516,0.049804762,143.95699,61.5819209039548,-0.005010128
attention_depth,layers=2,h20,0.023245402,0.15246443,0.11795302,108.413376,54.23728813559322,-0.5130117
weight_decay,0,h1,0.0036980864,0.060811892,0.053694926,1028.4272,59.887005649717516,-3.05059
weight_decay,0,h5,0.007752277,0.08804701,0.071658395,418.8125,38.983050847457626,-0.85410607
weight_decay,0,h20,0.019227698,0.13866398,0.11146403,294.25555,66.66666666666666,-0.25150478
weight_decay,1e-05,h1,0.0052592675,0.07252081,0.06619534,1341.4182,59.887005649717516,-4.760584
weight_decay,1e-05,h5,0.0075858715,0.08709691,0.07103952,418.1601,39.548022598870055,-0.8143071
weight_decay,1e-05,h20,0.018778196,0.13703355,0.11081031,317.99548,68.36158192090396,-0.22224724
weight_decay,0.0001,h1,0.004190988,0.06473784,0.057667404,1123.1116,59.887005649717516,-3.5904756
weight_decay,0.0001,h5,0.007207395,0.08489638,0.069384724,404.944,43.50282485875706,-0.72378707
weight_decay,0.0001,h20,0.019612081,0.14004314,0.11030272,254.34973,63.84180790960452,-0.2765237
weight_decay,0.001,h1,0.0054955916,0.074132256,0.06808725,1399.649,59.887005649717516,-5.0194345
weight_decay,0.001,h5,0.008295527,0.09107978,0.074652165,432.67712,38.4180790960452,-0.98403466
weight_decay,0.001,h20,0.019956589,0.14126779,0.1118858,262.6691,61.5819209039548,-0.29894722
horizon_mode,multi,h1,0.004190988,0.06473784,0.057667404,1123.1116,59.887005649717516,-3.5904756
horizon_mode,multi,h5,0.007207395,0.08489638,0.069384724,404.944,43.50282485875706,-0.72378707
horizon_mode,multi,h20,0.019612081,0.14004314,0.11030272,254.34973,63.84180790960452,-0.2765237
horizon_mode,single_h1,h1,0.0009685068,0.031120842,0.021584535,248.41075,61.016949152542374,-0.060825467
