experiment,variant,horizon,MSE,RMSE,MAE,MAPE,Dir_Acc,R2
model_type,LSTM,h1,0.0041909222,0.064737335,0.05766686,1122.6782,59.887005649717516,-3.590405
model_type,LSTM,h5,0.007207434,0.08489661,0.06938492,404.89038,43.50282485875706,-0.72379625
model_type,LSTM,h20,0.01961215,0.1400434,0.11030279,254.34563,63.84180790960452,-0.27652824
model_type,GRU,h1,0.0010107982,0.03179305,0.023262525,225.013,53.672316384180796,-0.10714829
model_type,GRU,h5,0.0048711095,0.069793336,0.051755182,144.47313,53.10734463276836,-0.1650194
model_type,GRU,h20,0.026675025,0.1633249,0.1307415,330.36523,54.80225988700565,-0.7362411
model_type,Transformer,h1,0.001036964,0.032201927,0.023201896,314.51413,59.32203389830508,-0.13580847
model_type,Transformer,h5,0.004061604,0.06373072,0.04935325,176.43271,61.5819209039548,0.028589368
model_type,Transformer,h20,0.025772246,0.16053736,0.12529765,132.25209,33.89830508474576,-0.67748046
dropout,0.0,h1,0.003386833,0.058196504,0.0460517,801.26105,60.451977401129945,-2.7096689
dropout,0.0,h5,0.0098169595,0.09908057,0.07931938,471.32922,38.4180790960452,-1.3479142
dropout,0.0,h20,0.03797364,0.19486827,0.15939471,283.69504,42.3728813559322,-1.4716525
dropout,0.1,h1,0.02091372,0.14461577,0.14017323,3016.523,59.887005649717516,-21.907234
dropout,0.1,h5,0.019044394,0.13800143,0.122233205,879.6573,38.4180790960452,-3.5548325
dropout,0.1,h20,0.024128849,0.15533464,0.12207505,157.1766,50.847457627118644,-0.5705141
dropout,0.2,h1,0.0041909222,0.064737335,0.05766686,1122.6782,59.887005649717516,-3.590405
dropout,0.2,h5,0.007207434,0.08489661,0.06938492,404.89038,43.50282485875706,-0.72379625
dropout,0.2,h20,0.01961215,0.1400434,0.11030279,254.34563,63.84180790960452,-0.27652824
dropout,0.3,h1,0.001030511,0.03210157,0.023417855,254.41483,48.58757062146893,-0.12874019
dropout,0.3,h5,0.00979914,0.098990604,0.08053814,422.61334,38.4180790960452,-1.3436525
dropout,0.3,h20,0.03221063,0.1794732,0.14522417,232.37321,41.24293785310734,-1.0965462
dropout,0.5,h1,0.0037300894,0.061074458,0.049522426,811.21436,48.58757062146893,-3.0856447
dropout,0.5,h5,0.0085557075,0.092497066,0.07336838,358.1595,38.4180790960452,-1.0462618
dropout,0.5,h20,0.02842341,0.16859244,0.13111536,144.71213,43.50282485875706,-0.85004115
batch_norm,True,h1,0.0041909222,0.064737335,0.05766686,1122.6782,59.887005649717516,-3.590405
batch_norm,True,h5,0.007207434,0.08489661,0.06938492,404.89038,43.50282485875706,-0.72379625
batch_norm,True,h20,0.01961215,0.1400434,0.11030279,254.34563,63.84180790960452,-0.27652824
batch_norm,False,h1,0.0022550374,0.047487233,0.03962677,703.7071,39.548022598870055,-1.4699898
batch_norm,False,h5,0.0042791967,0.06541557,0.050640073,179.54567,61.5819209039548,-0.023452163
batch_norm,False,h20,0.034215357,0.18497394,0.15096702,272.29785,25.423728813559322,-1.2270312
attention_depth,layers=1,h1,0.0022618368,0.047558773,0.039961148,732.64417,39.548022598870055,-1.4774373
attention_depth,layers=1,h5,0.004464768,0.066818915,0.05131788,139.0583,55.367231638418076,-0.06783497
attention_depth,layers=1,h20,0.023149913,0.15215096,0.121365674,148.42145,42.93785310734463,-0.5067965
attention_depth,layers=2,h1,0.001036964,0.032201927,0.023201896,314.51413,59.32203389830508,-0.13580847
attention_depth,layers=2,h5,0.004061604,0.06373072,0.04935325,176.43271,61.5819209039548,0.028589368
attention_depth,layers=2,h20,0.025772246,0.16053736,0.12529765,132.25209,33.89830508474576,-0.67748046
weight_decay,0,h1,0.0036980025,0.060811203,0.05369418,1028.0272,59.887005649717516,-3.0504994
weight_decay,0,h5,0.007752327,0.088047296,0.07165865,418.76096,38.983050847457626,-0.8541179
weight_decay,0,h20,0.0192277,0.13866398,0.11146395,294.25143,66.66666666666666,-0.2515049
weight_decay,1e-05,h1,0.0052586426,0.0725165,0.06619069,1340.787,59.887005649717516,-4.759901
weight_decay,1e-05,h5,0.007585714,0.087096006,0.07103853,418.0914,39.548022598870055,-0.8142692
weight_decay,1e-05,h20,0.018778339,0.13703407,0.11081049,317.98523,68.36158192090396,-0.22225654
weight_decay,0.0001,h1,0.0041909222,0.064737335,0.05766686,1122.6782,59.887005649717516,-3.590405
weight_decay,0.0001,h5,0.007207434,0.08489661,0.06938492,404.89038,43.50282485875706,-0.72379625
weight_decay,0.0001,h20,0.01961215,0.1400434,0.11030279,254.34563,63.84180790960452,-0.27652824
weight_decay,0.001,h1,0.005495698,0.07413298,0.06808802,1399.0912,59.887005649717516,-5.019553
weight_decay,0.001,h5,0.008295615,0.09108027,0.07465267,432.63293,38.4180790960452,-0.98405564
weight_decay,0.001,h20,0.019956756,0.14126839,0.11188602,262.66333,61.5819209039548,-0.29895818
horizon_mode,multi,h1,0.0041909222,0.064737335,0.05766686,1122.6782,59.887005649717516,-3.590405
horizon_mode,multi,h5,0.007207434,0.08489661,0.06938492,404.89038,43.50282485875706,-0.72379625
horizon_mode,multi,h20,0.01961215,0.1400434,0.11030279,254.34563,63.84180790960452,-0.27652824
horizon_mode,single_h1,h1,0.0010302083,0.03209686,0.022777433,362.302,52.54237288135594,-0.12840879
